title,collection_id,source_type,chunks,year,authority,url,docId
“Mina olen enda oma” juhendmaterjal õpetajale ja lapsevanemale,organization_guidelines,FILE,43,,,https://www.lastekaitseliit.ee/raamat/mina-olen-enda-oma/assets/download/juhendmaterial.pdf,lastekaitse_liit_mina_olen_enda_oma_juhendmaterjal_opetajale_ja_lapsevanemale
"„Nad on ju vanad, mis seksuaalsusest me siin enam räägime?!“ Eakate seksuaalse eneseteostuse võimalused hooldekodudes",sotsiaaltoo_articles,FILE,17,2024,,,sotsiaaltoo-3-2024-nad-on-ju-vanad-mis-seksuaalsusest-me-siin-enam-raagime-eakate-seksuaalse-eneseteostuse-voimalused-hooldekodudes-2024-3
1. klassi astuja toetus,kov_services,TEXT,1,,,https://mustveevald.kovtp.ee/blanketid-ja-vormid,kov::mustvee-vald::item::mustvee_vald_form_1_klassi_astuja_toetus
1. klassi astuja toetus,kov_services,TEXT,2,,,https://polva.ee/perekond-sotsiaalabi-ja-tervishoid/lapsed-ja-pered/toetused/,kov::polva-vald::item::polva_vald_benefit_esimese_klassi_astu_toetus
1. klassi astuja toetuse taotlus,kov_services,TEXT,1,,,https://rapla.ee/juhtimine-ja-majandus/asjaajamine-ja-korrad/blanketid/,kov::rapla-vald::item::rapla_vald_form_esimesse_klassi_astuja_toetus
130 aastat Anton Makarenko sünnist,sotsiaaltoo_articles,FILE,29,2018,,,sotsiaaltoo-4-2018-anton-makarenko-130-2018
2025. aasta tegevuse ülevaade: puuetega inimeste õigused,national_guidelines,FILE,26,2025,,https://www.oiguskantsler.ee/ylevaade2025/pdf/puuetega-inimeste-oigused.pdf,oiguskantsler_2025_aasta_tegevuse_ulevaade_puuetega_inimeste_oigused
4 sammu märkamiseks ja sekkumiseks õpetajale,national_guidelines,FILE,8,2021,,https://harno.ee/sites/default/files/documents/2021-06/juhend%20%C3%B5petajatele-%20vaimse_tervise_nouanded_17.05.pdf,harno_4_sammu_markamiseks_ja_sekkumiseks_opetajale
Aabitsatoetus,kov_services,TEXT,2,,,https://www.kuusalu.ee/aabitsatoetus,kov::kuusalu-vald::item::kuusalu_vald_benefit_aabitsatoetus
Aabitsatoetus,kov_services,TEXT,2,,,https://luunja.ee/pere-sotsiaal-ja-tervishoid/laps-ja-pere/teenused-ja-toetused-laps-ja-pere/,kov::luunja-vald::item::luunja_vald_benefit_aabitsatoetus
Aabitsatoetuse taotlus,kov_services,TEXT,2,,,https://www.kuusalu.ee/taotluste-vormid1,kov::kuusalu-vald::item::kuusalu_vald_form_aabitsatoetus
Aabitsatoetuse taotlus,kov_services,TEXT,1,,,https://luunja.ee/pere-sotsiaal-ja-tervishoid/laps-ja-pere/teenused-ja-toetused-laps-ja-pere/,kov::luunja-vald::item::luunja_vald_form_aabitsatoetuse_taotlus
Aafrika kogemus sotsiaaltööst pagulaste ja sisserännanutega,sotsiaaltoo_articles,FILE,10,2022,,,sotsiaaltoo-4-2022-aafrika-kogemus-sotsiaaltoost-pagulaste-ja-sisserannanutega-2022-4
Aare Laak,kov_services,TEXT,1,,,https://www.kambja.ee/kontakt,kov::kambja-vald::item::kambja_vald_contact_aare_laak
Aasta 2018 algab hoolekandes muutuste tuules,sotsiaaltoo_articles,FILE,4,2018,,,sotsiaaltoo-1-2018-aasta-2018-algab-hoolekandes-muutuste-tuules-2018
Aasta parimad lastekaitsetöötajad: laste ja peredeni peaks abi jõudma kiiremini,sotsiaaltoo_articles,FILE,16,2019,,,sotsiaaltoo-3-2019-aasta-parimad-lastekaitsetootajad-2019
Aasta sotsiaaltöötaja – päikeseliselt soe Johanna Hollo,sotsiaaltoo_articles,FILE,18,2021,,,sotsiaaltoo-3-2021-aasta-sotsiaaltootaja-paikeseliselt-soe-johanna-hollo-2021-3
"Abi kasutajal on õigused, aga kas ka kohustused?",sotsiaaltoo_articles,FILE,6,2025,,,sotsiaaltoo-2-2025-abi-kasutajal-on-oigused-aga-kas-ka-kohustused-2025-2
Abi seksuaalvägivalla korral,kov_services,TEXT,1,,,https://www.kiilivald.ee/abi-seksuaalvagivalla-korral,kov::kiili-vald::item::kiili_vald_resource_abi_seksuaalvagivalla_korral
Abi töötule – Eesti Töötukassa Virumaa osakonna Rakvere büroo,kov_services,TEXT,1,,,https://www.tapa.ee/pere-sotsiaalabi-ja-tervishoid/sotsiaalteenused/muud-tugiteenused,kov::tapa-vald::item::tapa_vald_resource_tootukassa_rakvere_buroo
Abi- ja infotelefonid,kov_services,TEXT,1,,,https://www.kuusalu.ee/abi-ja-infotelefonid,kov::kuusalu-vald::item::kuusalu_vald_resource_abi_ja_infotelefonid
Abi- ja infotelefonid,kov_services,TEXT,1,,,https://raasiku.ee/vald-uudised-kontaktandmed/kontaktid-info/abi-ja-infotelefonid,kov::raasiku-vald::item::raasiku_vald_resource_abi_ja_infotelefonid
Abi- ja nõustamisvõimalused,kov_services,TEXT,1,,,https://parnu.ee/abi-ja-noustamisvoimalused,kov::parnu-linn::item::parnu_linn_resource_abi_ja_noustamisvoimalused
Abistavad digilahendused – tuleviku hooldustöö võti,sotsiaaltoo_articles,FILE,17,2020,,,sotsiaaltoo-2-2020-abistavad-digilahendused-tuleviku-hooldustoo-voti-2020-2
Abivahendi vajajale,kov_services,TEXT,2,,,https://antsla.ee/pere-sotsiaal-ja-tervishoid/eakad-ja-erivajadus/abivahendi-vajajale/,kov::antsla_vald::item::antsla_vald_resource_abivahendi_vajajale
Abivahendi vajajale,kov_services,TEXT,1,,,https://parnu.ee/sotsiaalhoolekanne/eakale-erivajadusega-inimesele,kov::parnu-linn::item::parnu_linn_resource_abivahendi_vajajale
Abivahendid,kov_services,TEXT,1,,,https://www.kiilivald.ee/abivahendid,kov::kiili-vald::item::kiili_vald_resource_abivahendid
Abivahendid,kov_services,TEXT,1,,,https://www.narva.ee/tervise-ja-sotsiaalosakond,kov::narva-linn::item::narva_linn_resource_abivahendid
Abivahendid,kov_services,TEXT,1,,,https://sakuvald.ee/hoolekanne-ja-tervishoid/toetused-ja-teenused/riigi-sotsiaalteenused/,kov::saku-vald::item::saku_vald_resource_abivahendid
Abivahendite info,kov_services,TEXT,1,,,https://www.pparnumaa.ee/pere-sotsiaal-ja-tervishoid/eakad-ja-erivajadusega-inimesed/teenused,kov::pohja-parnumaa-vald::item::pohja_parnumaa_vald_resource_abivahendid
Abivahendite info,kov_services,TEXT,1,,,https://www.tartu.ee/et/ToetusedTeenused,kov::tartu-linn::item::tartu_linn_resource_abivahendid
Abivahendite info 2025 muudatuste lehel,kov_services,TEXT,1,,,https://mustveevald.kovtp.ee/uudised-ja-teated/-/asset_publisher/dp54D2eBFl1x/content/2025-aasta-tahtsamad-muudatused-sotsiaalministeeriumi-valdkondades,kov::mustvee-vald::item::mustvee_vald_resource_abivahendid_2025
Abivahendite taotlemise info,kov_services,TEXT,1,,,https://maardu.ee/abivahendi-taotlemine,kov::maardu-linn::item::maardu_linn_resource_abivahendite_info
Abivahendite teatmik 2025,national_guidelines,FILE,206,2025,,https://sotsiaalkindlustusamet.ee/sites/default/files/documents/2025-02/Abivahendite%20teatmik%202025-1.pdf,sotsiaalkindlustusamet_abivahendite_teatmik_2025
Abivahenditoetus,kov_services,TEXT,2,,,https://mulgivald.ee/pere-sotsiaal-ja-tervishoid/toetused-ja-teenused/sotsiaaltoetused/abivahenditoetus/,kov::mulgi-vald::item::mulgi_vald_benefit_abivahenditoetus
Abivahenditoetus,kov_services,TEXT,2,,,https://www.torivald.ee/toiming/abivahenditoetuse-taotlemine,kov::tori-vald::item::tori_vald_benefit_abivahenditoetus
Abivajadusega lapse tugiisik,kov_services,TEXT,2,,,https://www.tallinn.ee/et/teenused/abivajadusega-lapse-tugiisik,kov::tallinn::item::tallinn_service_abivajadusega_lapse_tugiisik
Abivajadusest sõltuva toetus,kov_services,TEXT,2,,,https://www.haljala.ee/toiming/abivajadusest-soltuva-toetus,kov::haljala_vald::item::haljala_vald_benefit_abivajadusest_soltuvad_toetused
Abivajadusest sõltuva toetuse avaldus,kov_services,TEXT,1,,,https://www.haljala.ee/toiming/abivajadusest-soltuva-toetus,kov::haljala_vald::item::haljala_vald_form_abivajadusest_soltuv_toetus
