task_id,run_no,variant,model,reasoning_effort,verbosity,role_effective,http,latency_ms,visible_output_chars,api_output_tokens,api_input_tokens,hit_output_cap_1100,retrieved_chunks,retrieved_unique_documents,selected_context_chunks,unique_selected_sources,source_packages,model_cited_sources,displayed_source_ids_unique,displayed_sources_array_len,displayed_unique_titles,filtered_out_sources,planner_mode,risk,retrievers,graph_channel,package_aware,error
T1,1,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,15491,2852,1100,11112,JAH,100,81,41,38,20,6,6,9,4,32,municipality_service_benefit_list,high,dense|title_match|bm25|exact_phrase,jah,true,
T2,1,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,13629,2848,1100,4517,JAH,56,12,4,4,0,0,0,0,0,4,default,high,dense|title_match|bm25,jah,false,
T3,1,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,7830,2050,1100,1716,JAH,0,0,0,0,0,0,0,0,0,0,default,low,,ei,false,
T4,1,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,13330,2977,1100,4163,JAH,56,10,4,4,0,0,0,0,0,4,default,low,dense|title_match|bm25,jah,false,
T5,1,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,18222,1877,1100,4162,JAH,41,20,4,4,0,2,2,2,2,2,default,low,dense|bm25,jah,false,
T6,1,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,37544,3063,1100,4252,JAH,34,27,4,4,0,2,2,2,2,2,life_situation_guidance,low,dense|title_match|bm25,jah,false,
T7,1,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,13089,3150,1100,4347,JAH,51,5,4,4,0,0,0,0,0,4,national_service_benefit,high,dense|exact_phrase|bm25|title_match,jah,false,
T8,1,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,12986,2122,820,4166,ei,56,9,4,4,0,4,4,4,4,0,default,low,dense|bm25,jah,false,
T1,1,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,10223,1586,748,11112,ei,100,81,41,38,20,6,6,9,4,32,municipality_service_benefit_list,high,dense|title_match|bm25|exact_phrase,jah,true,
T2,1,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,12145,2163,960,4517,ei,56,12,4,4,0,0,0,0,0,4,default,high,dense|title_match|bm25,jah,false,
T3,1,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,8567,202,1100,1716,JAH,0,0,0,0,0,0,0,0,0,0,default,low,,ei,false,
T4,1,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,13086,2572,1100,4163,JAH,56,10,4,4,0,0,0,0,0,4,default,low,dense|title_match|bm25,jah,false,
T5,1,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,15784,2421,1100,4162,JAH,41,20,4,4,0,2,2,2,2,2,default,low,dense|bm25,jah,false,
T6,1,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,40646,2668,973,4239,ei,34,27,4,4,0,2,2,2,2,2,life_situation_guidance,low,dense|title_match|bm25,jah,false,
T7,1,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,12843,2581,1100,4347,JAH,51,5,4,4,0,0,0,0,0,4,national_service_benefit,high,dense|exact_phrase|bm25|title_match,jah,false,
T8,1,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,9018,1013,446,4166,ei,56,9,4,4,0,4,4,4,4,0,default,low,dense|bm25,jah,false,
T8,2,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,9222,1085,432,4166,ei,56,9,4,4,0,4,4,4,4,0,default,low,dense|bm25,jah,false,
T7,2,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,12990,2799,1100,4381,JAH,51,6,4,4,0,0,0,0,0,4,national_service_benefit,high,dense|exact_phrase|bm25|title_match,jah,false,
T5,2,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,15127,2398,1019,4162,ei,41,20,4,4,0,2,2,2,2,2,default,low,dense|bm25,jah,false,
T6,2,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,42039,1938,1100,4247,JAH,34,27,4,4,0,2,2,2,2,2,life_situation_guidance,low,dense|title_match|bm25,jah,false,
